Description,Image,Gender,Specifications
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26684212/2023/12/27/02b7ea1c-a0c3-4089-86b9-e49d3220a3581703673890217CrazymonkUnisexBluePrintedT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28484160/2024/3/24/bb321100-3aa3-4a9e-a46a-d5d2074003311711267406580BOTNIAUnisexDrop-ShoulderSleevesRawEdgeT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
V-Neck Cotton Lounge T-shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22492580/2024/1/19/23cd17d6-97af-4620-b936-421ca71b7bd31705648271947USPoloAssnEmbroideredLogoV-NeckCottonLoungeT-shirts1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'V-Neck', 'Pattern': 'Self Design', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Polo Collar Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28138206/2024/8/14/b9c956cf-4601-4a5a-98c7-032b79ba39ea1723609086760-Lux-Cozi-Polo-Collar-Lounge-Tshirts-3221723609086200-2.jpg",men,"{'Fabric': 'Cotton Blend', 'Neck': 'Polo Collar', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Unisex Pure Cotton T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25640994/2023/10/26/00984cf1-3607-473a-a773-b78c54a510871698332558359AeroArmourUnisexWhiteTypographyPrintedDrop-ShoulderSleevesMo1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28699080/2024/5/21/340ae8e4-6933-4912-9056-564329d6b4911716266086798-NOBERO-Graphic-Printed-Drop-Shoulder-Sleeves-Cotton-Oversize-6.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Printed Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/14/sOsVR6Lc_c90cfead3740464aaad448616e1d37a8.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Round Neck Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014286/2023/7/14/148568bf-8ecb-4fc0-8be2-508922255b501689274786111BULLMERMenCream-ColouredPrintedV-NeckPocketsT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27974016/2024/3/1/587a7e32-4fc3-4442-921a-ee6298afd4de1709288379500CrazymonkUnisexTypographyT-shirt1.jpg",men,"{'Character': 'NASA', 'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Polo Collar Dry Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23253840/2024/3/1/f34380fd-0331-46a1-b4e1-fde292f7991b1709295132614STELLERSPoloCollarDryFitT-shirt1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual'}"
Pure Cotton Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22492606/2024/1/19/a4f50eb4-0cf4-49c6-a0e7-94f85b9b5cdb1705648273494USPoloAssnPureCottonV-NeckLoungeT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'V-Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Pure Cotton Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25072178/2023/9/20/c097aded-8dfb-497d-87c0-e0ef5ec5c8761695179114326StormbornMenBrownPrintedPoloCollarPocketsT-shirt1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton Oversized T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27974058/2024/3/1/3c02fbd5-caef-41db-b837-20b374db4e3e1709288527641CrazymonkUnisexTypographyPrintedT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Unisex Oversized T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28484158/2024/3/24/cdcb6339-efc3-4252-8814-5666ba753b4c1711267407219BOTNIAUnisexAppliqueT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Round Neck Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24014280/2023/7/14/7055da61-1594-4c8c-bc75-4218c0d0e9951689276803634BULLMERMenLavenderTypographyPrintedV-NeckRawEdgeT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton Slim Fit T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25695614/2023/10/31/beea488b-6a3b-49dd-81c7-9dccc09dfda21698744959340JackJonesMenMaroonPoloCollarSlimFitT-shirt1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Pure Cotton', 'Fit': 'Slim Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Number of Items': '1'}"
Men Round Neck Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11434688/2020/2/28/daa4df6c-5a62-4a2a-a80f-06787c6c17781582867105432-Mast--Harbour-Men-Tshirts-3961582867104415-1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Abstract', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid'}"
Printed Polo Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20963310/2022/11/29/284f5460-7301-4a15-8053-0ff6fa8d924a1669690173755KrypticMenWhitePrintedPoloCollarTropicalAppliqueT-shirt1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Floral Print', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Number of Items': '1'}"
Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg",men,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Geometric Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Men Solid T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/19/QwzrYRQT_c90858484d5945f788f809dd1c989165.jpg",men,"{'Closure': 'Button', 'Contact Brand or Retailer for pre-sales product queries': 'na', 'Fabric': 'Cotton', 'Fabric 2': 'Polyester', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single'}"
Polo Collar Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22215132/2023/8/3/afae53bd-a1cb-450d-8050-d4b76e1d5c611691062920261DukePoloCollarShortSleevesCottonT-shirt1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual'}"
Ultralight Lounge T-Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30205297/2024/7/26/0f1d5794-f60d-46c8-8a48-47969c6b32921721991840874-DAMENSCH-Ultralight-Basic-Crew-Pure-Cotton-Lounge-T-Shirts-1-1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Printed Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/JULY/29/eBCSvGac_cb6f112c94ca406a9d58affea943c2b6.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Abstract', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Solid Polo Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18218732/2023/7/17/7f61c6b5-fcae-4cf4-b9eb-afa69127b4f21689589791531LouisPhilippeMenBlackSolidPoloCollarPureCottonT-shirt1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual'}"
Unisex Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24350980/2023/8/5/0ba32622-c5c6-445d-99ae-f63b9ed059181691202213723CrazymonkUnisexBlackPrintedAppliqueT-shirt1.jpg",men,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Solid Round Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027428/2020/11/23/4f6be415-c536-49e5-bc78-534dade9cd2d1606116792652-Levis-Men-Grey-Melange-Solid-Pure-Cotton-V-Neck-Lounge-T-shi-1.jpg",men,"{'Fabric': 'Cotton', 'Neck': 'Round Neck', 'Pattern': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sustainable': 'Regular', 'Type': 'Regular', 'Wash Care': 'Machine Wash'}"
Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22183906/2023/3/1/6d3f6c04-d56d-44a4-b7f1-133dd3a359a41677675216357RedTapePoloNeckMensT-ShirtCasualCottonT-ShirtHalfSleevesSoli1.jpg",men,"{'Closure': 'Button', 'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Polo Collar', 'Occasion': 'Casual'}"
